day_key,start_time,hour,day,week,month,year,weekdate
2018111109,2018-11-11 09:00:00,9,11,45,11,2018,6
2018111110,2018-11-11 10:00:00,10,11,45,11,2018,6
2018111111,2018-11-11 11:00:00,11,11,45,11,2018,6
2018111112,2018-11-11 12:00:00,12,11,45,11,2018,6
2018111113,2018-11-11 13:00:00,13,11,45,11,2018,6
2018111114,2018-11-11 14:00:00,14,11,45,11,2018,6
2018111115,2018-11-11 15:00:00,15,11,45,11,2018,6
2018111116,2018-11-11 16:00:00,16,11,45,11,2018,6
2018111117,2018-11-11 17:00:00,17,11,45,11,2018,6
2018111118,2018-11-11 18:00:00,18,11,45,11,2018,6
2018111119,2018-11-11 19:00:00,19,11,45,11,2018,6
2018111120,2018-11-11 20:00:00,20,11,45,11,2018,6
2018111121,2018-11-11 21:00:00,21,11,45,11,2018,6
2018111122,2018-11-11 22:00:00,22,11,45,11,2018,6
2018111123,2018-11-11 23:00:00,23,11,45,11,2018,6
2018111200,2018-11-12 00:00:00,0,12,46,11,2018,0
2018111201,2018-11-12 01:00:00,1,12,46,11,2018,0
2018111202,2018-11-12 02:00:00,2,12,46,11,2018,0
2018111203,2018-11-12 03:00:00,3,12,46,11,2018,0
2018111204,2018-11-12 04:00:00,4,12,46,11,2018,0
2018111205,2018-11-12 05:00:00,5,12,46,11,2018,0
2018111206,2018-11-12 06:00:00,6,12,46,11,2018,0
2018111207,2018-11-12 07:00:00,7,12,46,11,2018,0
2018111208,2018-11-12 08:00:00,8,12,46,11,2018,0
2018111209,2018-11-12 09:00:00,9,12,46,11,2018,0
2018111210,2018-11-12 10:00:00,10,12,46,11,2018,0
2018111211,2018-11-12 11:00:00,11,12,46,11,2018,0
2018111212,2018-11-12 12:00:00,12,12,46,11,2018,0
2018111213,2018-11-12 13:00:00,13,12,46,11,2018,0
2018111214,2018-11-12 14:00:00,14,12,46,11,2018,0
2018111215,2018-11-12 15:00:00,15,12,46,11,2018,0
2018111216,2018-11-12 16:00:00,16,12,46,11,2018,0
2018111217,2018-11-12 17:00:00,17,12,46,11,2018,0
2018111218,2018-11-12 18:00:00,18,12,46,11,2018,0
2018111219,2018-11-12 19:00:00,19,12,46,11,2018,0
2018111220,2018-11-12 20:00:00,20,12,46,11,2018,0
2018111221,2018-11-12 21:00:00,21,12,46,11,2018,0
2018111222,2018-11-12 22:00:00,22,12,46,11,2018,0
2018111223,2018-11-12 23:00:00,23,12,46,11,2018,0
2018111300,2018-11-13 00:00:00,0,13,46,11,2018,1
2018111301,2018-11-13 01:00:00,1,13,46,11,2018,1
2018111302,2018-11-13 02:00:00,2,13,46,11,2018,1
2018111303,2018-11-13 03:00:00,3,13,46,11,2018,1
2018111304,2018-11-13 04:00:00,4,13,46,11,2018,1
2018111305,2018-11-13 05:00:00,5,13,46,11,2018,1
2018111306,2018-11-13 06:00:00,6,13,46,11,2018,1
2018111307,2018-11-13 07:00:00,7,13,46,11,2018,1
